CPU,RAM,BINARY
3.59,24.46,0
25.88,24.57,0
0.16,24.62,0
0,24.66,0
0.11,24.72,0
0.35,24.74,0
0.59,24.65,0
0.14,24.67,0
0.24,24.69,0
0,24.72,0
0.29,24.76,0
0,24.79,0
0.2,24.8,0
0,24.8,0
0,24.85,0
0.7,24.86,0
0,24.86,0
0.83,24.88,0
0.56,24.9,0
0,24.9,0
0,24.83,0
0.31,24.84,0
0.43,24.84,0
0,24.87,0
0.41,24.9,0
0,24.93,0
0.39,24.97,0
0.09,24.97,0
0,24.91,0
0,24.93,0
0.48,24.95,0
25.17,24.97,0
0.32,25,0
0.26,25.07,0
0,25.16,0
0.3,25.18,0
0.38,25.25,0
0.06,25.28,0
0,25.33,0
1.09,25.33,0
0,25.35,0
26,25.36,0
0,25.38,0
1.44,25.39,0
0,25.35,0
0.09,25.33,0
0.28,25.33,0
0.43,25.34,0
0,25.35,0
0.97,25.35,0
0,25.38,0
0,25.42,0
0,25.44,0
0.17,25.45,0
1.23,25.46,0
0,25.47,0
0.07,25.48,0
0.02,25.49,0
0.37,25.5,0
0.35,25.51,0
0,25.51,0
0,25.53,0
0,25.53,0
0,25.53,0
1.62,25.53,0
0,25.54,0
0.11,25.56,0
0,25.56,0
0.53,25.53,0
0,25.52,0
0.57,25.54,0
0.18,25.54,0
0,25.54,0
1.4,25.56,0
0,25.58,0
1.18,25.59,0
0.04,25.61,0
0,25.62,0
0.04,25.63,0
0,25.63,0
0.83,25.66,0
24.11,25.68,0
1.21,25.69,0
0,25.71,0
0.14,25.71,0
0,25.73,0
0.94,25.75,0
0,25.75,0
0.04,25.77,0
0.2,25.78,0
1.67,25.8,0
0,25.81,0
0,25.78,0
0.83,25.77,0
0,25.78,0
0,25.87,0
0.66,25.88,0
0,25.88,0
0,25.88,0
0.53,25.88,0
0,25.93,0
0,25.97,0
0,25.98,0
1.74,25.99,0
0,25.99,0
0.2,26,0
0.09,26.02,0
0,26.02,0
0,26.03,0
0.59,26.06,0
0,26.07,0
0.23,25.99,0
0,25.98,0
0,25.99,0
0.05,25.72,0
0.02,25.32,0
1.48,25.19,0
0,25.18,0
0,25.17,0
0,25.16,0
0,25.15,0
0.04,25.17,0
0.26,25.22,0
0,25.24,0
0.36,25.25,0
0,25.28,0
0,25.33,0
0.25,25.36,0
0,25.37,0
0.42,25.38,0
0,25.4,0
0,25.41,0
0,25.42,0
0,25.43,0
0,25.47,0
1.04,25.49,0
0,25.49,0
0.03,25.5,0
0,25.51,0
0.03,25.52,0
0.99,25.5,0
0.07,25.51,0
0,25.51,0
24.27,24.86,0
0.85,21.81,0
0,21.81,0
1.56,21.81,0
0,21.81,0
0.07,21.81,0
0.42,21.81,0
0.28,21.81,0
0.44,21.81,0
0,21.82,0
0,21.82,0
0.21,21.83,0
0,21.83,0
0.24,21.84,0
0,21.84,0
0.71,21.84,0
0,21.84,0
1.33,21.84,0
0,21.84,0
0.41,21.84,0
0.05,21.85,0
0,21.81,0
0.74,21.8,0
0.28,21.81,0
0,21.8,0
0.81,21.8,0
0,21.8,0
0.54,21.8,0
0,21.8,0
0.1,21.8,0
0,21.8,0
0,21.78,0
0.05,21.78,0
0.33,21.78,0
1.35,21.78,0
0,21.78,0
0.06,21.78,0
0,21.78,0
0,21.78,0
0.08,21.78,0
0,21.78,0
1.49,21.79,0
0,21.79,0
0.74,21.83,0
0,21.84,0
0,21.78,0
1.18,21.78,0
0,21.77,0
0.37,21.77,0
0.1,21.77,0
0.07,21.78,0
0,21.78,0
0.04,21.78,0
0,21.78,0
0.2,21.78,0
0.07,21.78,0
0.33,21.78,0
0,21.78,0
0.22,21.78,0
0.24,21.78,0
0,21.78,0
0,21.78,0
1.46,21.78,0
0,21.79,0
0,21.79,0
0.22,21.79,0
0.15,21.8,0
